#   Sourced from U.S. Department of Energy (DOE), National Nuclear Security Administration, 
#    Nevada Field Office "United States Nuclear Tests July 1945 through September 1992" report (DOE/NV-209, 2016)
#   Edited and reformatted by Louisa Barama August 2021 (lbarama@gatech.edu)
#------------------------------------------------------------------------------------------------------------------#
Test  Detonation                          Date(GMT)   Sponsor       Location                   Hole          Type        Time(GMT)    Lat         Long          Surface_Elev(ft)  Height/Depth(ft)  Purpose                              Yield_Range(kt)  Test
377   Alva                                08/19/1964  LLNL          NNSS                       U2j           Shaft       16:00:00.14  37.158968   -116.083968   4420              -545              Weapons_Related                      4.4              377
776   Alviso                              06/11/1975  LLNL          NNSS                       U2du          Shaft       13:00:00.17  37.111732   -116.074569   4225              -600              Safety_Experiment                    Less_than_20     776
1026  Amarillo                            06/27/1989  LANL          NNSS                       U19ay         Shaft       15:30:00.02  37.275406   -116.354444   6712              -2100             Weapons_Related                      20_to_150        1026
297   Anacostia                           11/27/1962  LLNL          NNSS                       U9i           Shaft       18:00:00.14  37.122762   -116.029888   4268              -747              Plowshare                            5.2              297
344   Anchovy                             11/14/1963  LANL          NNSS                       U3bq          Shaft       16:00:00.12  37.039478   -116.019280   4007              -854              Weapons_Related                      Low              344
280   Androscoggin                        10/02/1962  LLNL          Johnston_Island_area       UNKN          Airdrop     16:18:00.00  13.830000   -172.083000   0                 10260             Weapons_Related                      75               280
722   Angus                               04/25/1973  LANL          NNSS                       U3jg          Shaft       22:25:00.03  37.004786   -116.029336   3962              -1485             Weapons_Related                      Less_than_20     722
33    Annie                               03/17/1953  LANL          NNSS                       Area_3        Tower       13:20:00.00  37.095488   -116.103616   4026              300               Weapons_Related                      16               33
195   Antler                              09/15/1961  LLNL          NNSS                       U12e.03a      Tunnel      17:00:00.12  37.187905   -116.208633   7483              -1319             Weapons_Related                      2.6              195
82    Apache                              07/08/1956  LLNL          Enewetak_Atoll             UNKN          Barge       18:06:00.00  11.670900   162.199600    0                 10                Weapons_Related                      1850             82
675   Apodaca                             07/21/1971  LANL          NNSS                       U3gs          Shaft       13:33:00.05  37.014335   -115.992794   4009              -792              Weapons_Related                      Less_than_20     675
57    Apple-1                             03/29/1955  LANL          NNSS                       Area_4        Tower       12:55:00.00  37.095488   -116.103616   4309              500               Weapons_Related                      14               57
62    Apple-2                             05/05/1955  LANL          NNSS                       Area_1        Tower       12:10:00.00  37.053040   -116.103504   4236              500               Weapons_Related                      29               62
328   Apshapa                             06/06/1963  LLNL          NNSS                       U9ai          Shaft       16:58:00.15  37.124606   -116.040853   4204              -292              Weapons_Related                      Low              328
637   Arabis-Blue                         03/06/1970  LLNL          NNSS                       U9ITS_Z-26    Shaft       15:00:00.21  37.139529   -116.032156   4275              -330              Safety_Experiment                    Less_than_20     637
637   Arabis-Green                        03/06/1970  LLNL          NNSS                       U9ITS_X-28    Shaft       15:00:00.21  37.141741   -116.034879   4256              -849              Weapons_Related                      Less_than_20     637
637   Arabis-Red                          03/06/1970  LLNL          NNSS                       U9ITS_V-26    Shaft       15:00:00.21  37.139559   -116.037645   4238              -820              Weapons_Related                      Less_than_20     637
155   Argus_I                             08/27/1958  LANL/DoD      South_Atlantic             UNKN          Rocket      02:28:00.00  -38.800000  -10.900000    0                 1584000           Weapons_Effects                      1.7              155
156   Argus_II                            08/30/1958  LANL/DoD      South_Atlantic             UNKN          Rocket      02:28:00.00  -49.400000  -8.700000     0                 1584000           Weapons_Effects                      1.7              156
157   Argus_III                           09/06/1958  LANL/DoD      South_Atlantic             UNKN          Rocket      22:13:00.00  -49.500000  -10.450000    0                 1584000           Weapons_Effects                      1.7              157
236   Arikaree                            05/10/1962  LLNL          NNSS                       U9r           Shaft       15:00:00.16  37.127539   -116.049168   4204              -546              Weapons_Related                      Low              236
230   Arkansas                            05/02/1962  LLNL          Christmas_Island_area      UNKN          Airdrop     18:01:00.00  1.500000    -157.277000   0                 5030              Weapons_Related                      1090             230
922   Armada                              04/22/1983  LLNL/UK       NNSS                       U9cs          Shaft       13:53:00.08  37.111465   -116.023298   4339              -869              Joint_US-UK                          Less_than_20     922
209   Armadillo                           02/09/1962  LANL          NNSS                       U3ar          Shaft       16:30:00.13  37.043530   -116.039826   4019              -786              Weapons_Related                      7.1              209
655   Arnica-Violet                       06/26/1970  LLNL          NNSS                       U2dd_#3       Shaft       13:00:00.04  37.117085   -116.085023   4261              -865              Weapons_Related                      Less_than_20     655
655   Arnica-Yellow                       06/26/1970  LLNL          NNSS                       U2dd_#2       Shaft       13:00:00.04  37.113881   -116.087003   4255              -1015             Weapons_Related                      Less_than_20     655
712   Arsenate                            11/09/1972  LLNL          NNSS                       U9ci          Shaft       18:15:00.16  37.121398   -116.033196   4249              -821              Weapons_Related                      Less_than_20     712
663   Artesia                             12/16/1970  LANL          NNSS                       U7x           Shaft       16:00:00.09  37.100121   -116.008824   4360              -1591             Weapons_Related                      20_to_200        663
835   Asco                                04/25/1978  LLNL          NNSS                       U10bc         Shaft       14:35:00.16  37.154518   -116.035630   4305              -600              Safety_Experiment                    Less_than_20     835
805   Asiago                              12/21/1976  LLNL          NNSS                       U2ar          Shaft       15:09:00.17  37.123863   -116.068328   4239              -1083             Weapons_Related                      Less_than_20     805
135   Aspen                               06/14/1958  LLNL          Bikini_Atoll               UNKN          Barge       17:30:00.00  11.697275   165.280000    0                 11                Weapons_Related                      319              135
707   Atarque                             07/25/1972  LANL          NNSS                       U3ht          Shaft       13:30:00.06  37.012445   -116.015917   3967              -966              Weapons_Related                      Less_than_20     707
909   Atrisco                             08/05/1982  LANL          NNSS                       U7bp          Shaft       14:00:00.09  37.084158   -116.007415   4248              -2099             Weapons_Related                      138              909
573   Auger                               11/15/1968  LANL          NNSS                       U3fx          Shaft       15:30:00.04  37.047616   -116.000707   4097              -789              Weapons_Related                      Less_than_20     573
384   Auk                                 10/02/1964  LANL          NNSS                       U7b           Shaft       20:03:00.04  37.077878   -116.009355   4203              -1484             Weapons_Related                      Less_than_20     384
1035  Austin                              06/21/1990  LANL          NNSS                       U6e           Shaft       18:15:00.00  36.992788   -116.005363   3942              -1150             Weapons_Related                      Less_than_20     1035
664   Avens-Alkermes                      12/16/1970  LLNL          NNSS                       U9ITS_U-24    Shaft       16:00:00.17  37.137371   -116.039032   4227              -1004             Weapons_Related                      Less_than_20     664
664   Avens-Andorre                       12/16/1970  LLNL          NNSS                       U9ITS_T-28    Shaft       16:00:00.17  37.141771   -116.040368   4236              -1245             Weapons_Related                      Less_than_20     664
664   Avens-Asmalte                       12/16/1970  LLNL          NNSS                       U9ITS_W-21    Shaft       16:00:00.17  37.134061   -116.036318   4234              -1009             Weapons_Related                      Less_than_20     664
664   Avens-Cream                         12/16/1970  LLNL          NNSS                       U9ITS_X-29    Shaft       16:00:00.17  37.142837   -116.034866   4260              -961              Plowshare                            Less_than_20     664
228   Aztec                               04/27/1962  LANL          Christmas_Island_area      UNKN          Airdrop     16:02:00.00  1.565000    -157.365000   0                 2610              Weapons_Related                      410              228
864   Azul                                12/14/1979  LLNL          NNSS                       U2em          Shaft       18:00:00.09  37.137325   -116.063944   4273              -672              Weapons_Related                      Less_than_20     864
849   Baccarat                            01/24/1979  LANL          NNSS                       U7ax          Shaft       18:00:00.10  37.105363   -116.012547   4389              -1071             Weapons_Related                      Less_than_20     849
834   Backbeach                           04/11/1978  LANL          NNSS                       U19x          Shaft       17:45:00.07  37.233439   -116.369355   6781              -2204             Weapons_Related                      20_to_150        834
863   Backgammon                          11/29/1979  LANL          NNSS                       U3jh          Shaft       15:00:00.10  36.993912   -116.024975   3948              -750              Weapons_Related                      Less_than_20     863
366   Backswing                           05/14/1964  LLNL          NNSS                       U9aw          Shaft       14:40:00.15  37.117305   -116.039815   4213              -536              Weapons_Related                      Less_than_20     366
38    Badger                              04/18/1953  LANL          NNSS                       Area_2        Tower       12:35:00.00  37.138372   -116.118258   4491              300               Weapons_Related                      23               38
17    Baker(Operation_Buster)             10/28/1951  LANL          NNSS                       Area_7        Airdrop     15:20:00.00  37.084950   -116.021125   4193              1118              Weapons_Related                      3.5              17
3     Baker(Operation_Crossroads)         07/24/1946  LANL/DoD      Bikini_Atoll               UNKN          Underwater  21:35:00.00  11.589200   165.518200    0                 -90               Weapons_Effects                      21               3
8     Baker(Operation_Ranger)             01/28/1951  LANL          NNSS                       Area_5        Airdrop     13:52:00.00  36.805100   -115.950200   3140              1080              Weapons_Related                      8                8
24    Baker(Operation_Tumbler-Snapper)    04/15/1952  LANL/DoD      NNSS                       Area_7        Airdrop     17:30:00.00  37.084120   -116.020306   4193              1109              Weapons_Effects                      1                24
10    Baker-2                             02/02/1951  LANL          NNSS                       Area_5        Airdrop     13:49:00.00  36.805100   -115.950200   3140              1100              Weapons_Related                      8                10
678   Baltic                              08/06/1971  LLNL          NNSS                       U9ITS_S-25    Shaft       14:31:00.16  37.138482   -116.041768   4222              -1351             Weapons_Related                      Less_than_20     678
287   Bandicoot                           10/19/1962  LANL          NNSS                       U3bj          Shaft       18:00:00.08  37.039493   -116.022015   4008              -792              Weapons_Related                      12.5             287
666   Baneberry                           12/18/1970  LLNL          NNSS                       U8d           Shaft       15:30:00.20  37.173082   -116.099735   4574              -912              Weapons_Related                      10               666
800   Banon                               08/26/1976  LLNL/UK       NNSS                       U2dz          Shaft       14:30:00.17  37.124960   -116.082867   4273              -1761             Joint_US-UK                          20_to_150        800
386   Barbel                              10/16/1964  LANL          NNSS                       U3bx          Shaft       15:59:30.04  37.039550   -116.016800   4007              -849              Weapons_Related                      Less_than_20     386
1030  Barnwell                            12/08/1989  LLNL/UK       NNSS                       U20az         Shaft       15:00:00.09  37.231040   -116.410277   6573              -1971             Joint_US-UK                          20_to_150        1030
347   Barracuda                           12/04/1963  LANL          NNSS                       U3cr          Shaft       16:38:30.13  37.043839   -116.013076   4031              -864              Weapons_Related                      Low              347
676   Barranca                            08/04/1971  LANL          NNSS                       U3he          Shaft       13:30:00.04  37.026025   -116.020422   3984              -888              Weapons_Related                      Less_than_20     676
592   Barsac                              03/20/1969  LANL          NNSS                       U3gc          Shaft       18:12:00.04  37.021962   -116.031076   3982              -998              Weapons_Related                      Less_than_20     592
882   Baseball                            01/15/1981  LANL          NNSS                       U7ba          Shaft       20:25:00.09  37.087042   -116.045619   4129              -1850             Weapons_Related                      20_to_150        882
578   Bay_Leaf                            12/12/1968  LANL          NNSS                       U3gq          Shaft       15:00:00.04  37.046988   -116.031070   4023              -427              Safety_Experiment                    Less_than_20     578
55    Bee                                 03/22/1955  LANL          NNSS                       Area_7        Tower       13:05:00.00  37.094780   -116.024575   4245              500               Weapons_Related                      8                55
643   Beebalm                             05/01/1970  LANL          NNSS                       U3fn          Shaft       14:13:00.04  37.059170   -116.029052   4054              -1280             Weapons_Related                      Less_than_20     643
631   Belen                               02/04/1970  LANL          NNSS                       U3br          Shaft       17:00:00.07  37.054972   -116.039711   4045              -1381             Weapons_Related                      20_to_200        631
943   Bellow                              05/16/1984  LLNL          NNSS                       U4ac          Shaft       16:00:00.08  37.092463   -116.094092   4241              -680              Weapons_Related                      Less_than_20     943
987   Belmont                             10/16/1986  LLNL          NNSS                       U20as         Shaft       19:25:00.09  37.220157   -116.462524   6227              -1985             Weapons_Related                      20_to_150        987
581   Benham                              12/19/1968  LLNL          NNSS                       U20c          Shaft       16:30:00.04  37.231424   -116.474461   6281              -4600             Weapons_Related                      1150             581
737   Bernal                              11/28/1973  LANL          NNSS                       U3jy          Shaft       15:30:00.08  37.010944   -116.025345   3969              -936              Weapons_Related                      Less_than_20     737
159   Bernalillo                          09/17/1958  LANL          NNSS                       U3n           Shaft       19:30:00.00  37.049512   -116.034010   4028              -456              Safety_Experiment                    .015             159
540   Bevel                               04/04/1968  LANL          NNSS                       U3fu          Shaft       15:02:00.04  37.052264   -116.021742   4043              -790              Weapons_Related                      Less_than_20     540
1042  Bexar                               04/04/1991  LANL          NNSS                       U19ba         Shaft       19:00:00.00  37.296027   -116.313786   7037              -2065             Weapons_Related                      20_to_150        1042
586   Biggin                              01/30/1969  LLNL          NNSS                       U9bz          Shaft       15:17:00.12  37.133257   -116.041124   4212              -795              Weapons_Related                      Less_than_20     586
259   Bighorn                             06/27/1962  LLNL          Christmas_Island_area      UNKN          Airdrop     15:19:00.00  1.230000    -157.220000   0                 11810             Weapons_Related                      7650             259
336   Bilby                               09/13/1963  LANL          NNSS                       U3cn          Shaft       17:00:00.13  37.060371   -116.022530   4074              -2344             Weapons_Related                      249              336
767   Bilge                               02/19/1975  LANL          NNSS                       U3kc          Shaft       20:10:00.22  37.002155   -116.025429   3957              -1044             Weapons_Related                      Less_than_20     767
799   Billet                              07/27/1976  LANL          NNSS                       U7an          Shaft       20:30:00.08  37.075322   -116.044686   4100              -2088             Weapons_Related                      20_to_150        799
569   Bit-A                               10/31/1968  LANL          NNSS                       U3gt          Shaft       18:30:00.04  37.046984   -116.030333   4022              -487              Safety_Experiment                    Less_than_20     569
569   Bit-B                               10/31/1968  LANL          NNSS                       U3gt          Shaft       18:30:00.04  37.046984   -116.030333   4022              -387              Safety_Experiment                    Less_than_20     569
369   Bitterling                          06/12/1964  LANL          NNSS                       U3cu          Shaft       14:01:00.10  37.038898   -116.013121   4039              -632              Weapons_Related                      Less_than_20     369
229   Black                               04/27/1962  LLNL          NNSS                       U9p           Shaft       18:00:00.16  37.118411   -116.038640   4217              -714              Weapons_Related                      Low              229
76    Blackfoot                           06/12/1956  LANL          Enewetak_Atoll             UNKN          Tower       18:26:00.00  11.547200   162.352050    10                200               Weapons_Related                      8                76
193   Blanca                              10/30/1958  LLNL          NNSS                       U12e.05       Tunnel      15:00:00.15  37.185883   -116.202885   7126              -987              Weapons_Related                      22               193
595   Blenton                             04/30/1969  LANL          NNSS                       U7p           Shaft       17:00:00.04  37.081476   -116.014810   4205              -1830             Weapons_Related                      20_to_200        595
289   Bluegill_3_Prime                    10/26/1962  LANL/DoD      Johnston_Island_area       UNKN          Rocket      09:59:00.00  16.468422   -169.630075   0                 tens_of_miles     Weapons_Effects                      Submegaton       289
262   Bluestone                           06/30/1962  LLNL          Christmas_Island_area      UNKN          Airdrop     15:21:00.00  1.380000    -157.195000   0                 4980              Weapons_Related                      1270             262
275   Bobac                               08/24/1962  LANL          NNSS                       U3bl          Shaft       17:00:00.13  37.046097   -116.024707   4021              -676              Weapons_Related                      Low              275
822   Bobstay                             10/26/1977  LANL          NNSS                       U3jb          Shaft       14:15:00.08  37.007554   -116.017572   3961              -1251             Weapons_Related                      Less_than_20     822
989   Bodie                               12/13/1986  LLNL          NNSS                       U20ap         Shaft       17:50:05.09  37.262907   -116.412571   6621              -2083             Weapons_Related                      20_to_150        989
362   Bogey                               04/17/1964  LLNL          NNSS                       U9au          Shaft       15:29:52.28  37.119437   -116.034762   4238              -391              Weapons_Related                      Less_than_20     362
87    Boltzmann                           05/28/1957  LANL          NNSS                       Area_7        Tower       11:55:00.00  37.094825   -116.024500   4235              500               Weapons_Related                      12               87
876   Bonarda                             09/25/1980  LANL          NNSS                       U3gv          Shaft       14:45:00.09  37.056117   -116.048955   4057              -1250             Weapons_Related                      20_to_150        876
355   Bonefish                            02/18/1964  LANL          NNSS                       U3bt          Shaft       15:37:19.12  37.059338   -116.034192   4050              -987              Weapons_Related                      Less_than_20     355
197   Boomer                              10/01/1961  LANL          NNSS                       U3aa          Shaft       21:30:00.12  37.048294   -116.035380   4028              -330              Weapons_Related                      Low              197
1002  Borate                              10/23/1987  LLNL          NNSS                       U2ge          Shaft       16:00:00.09  37.141850   -116.079570   4335              -1780             Weapons_Related                      20_to_150        1002
511   Bordeaux                            08/18/1967  LANL          NNSS                       U3dr          Shaft       20:12:30.04  37.012107   -116.037327   3970              -1089             Weapons_Related                      Less_than_20     511
915   Borrego                             09/29/1982  LANL          NNSS                       U7br          Shaft       13:30:00.10  37.091256   -116.045756   4137              -1848             Weapons_Related                      Less_than_150    915
486   Bourbon                             01/20/1967  LANL          NNSS                       U7nS          Shaft       17:40:04.41  37.099826   -116.004708   4374              -1836             Weapons_Related                      20_to_200        486
905   Bouschet                            05/07/1982  LANL          NNSS                       U3la          Shaft       18:17:00.11  37.069013   -116.046331   4083              -1850             Weapons_Related                      20_to_150        905
1033  Bowie                               04/06/1990  LANL          NNSS                       U3mk          Shaft       17:00:00.04  37.067623   -115.992991   4257              -700              Weapons_Related                      Less_than_20     1033
602   Bowl-1                              06/26/1969  LLNL          NNSS                       U2bo_#1       Shaft       16:00:00.13  37.162437   -116.079494   4407              -650              Weapons_Related                      Less_than_20     602
602   Bowl-2                              06/26/1969  LLNL          NNSS                       U2bo_#2       Shaft       16:00:00.13  37.160733   -116.080021   4402              -750              Weapons_Related                      Less_than_20     602
544   Boxcar                              04/26/1968  LLNL          NNSS                       U20i          Shaft       15:00:00.07  37.295373   -116.456591   6370              -3825             Weapons_Related                      1300             544
674   Bracken                             07/09/1971  LLNL          NNSS                       U10aq         Shaft       14:00:00.16  37.164403   -116.033602   4342              -1000             Weapons_Related                      Less_than_20     674
932   Branco                              09/21/1983  LLNL          NNSS                       U2ew          Shaft       16:25:00.08  37.121309   -116.056452   4209              -960              Weapons_Related                      Less_than_20     932
932   Branco-Herkimer                     09/21/1983  LLNL          NNSS                       U2ew          Shaft       16:25:00.08  37.121309   -116.056452   4209              -1400             Weapons_Related                      Less_than_20     932
44    Bravo                               02/28/1954  LANL          Bikini_Atoll               UNKN          Surface     18:45:00.00  11.697130   165.274200    10                7                 Weapons_Related                      15000            44
218   Brazos                              03/08/1962  LLNL          NNSS                       U9d           Shaft       18:00:00.21  37.122117   -116.049750   4201              -840              Weapons_Related                      8.4              218
951   Breton                              09/13/1984  LLNL          NNSS                       U4ar          Shaft       14:00:00.00  37.086639   -116.072046   4149              -1585             Weapons_Related                      20_to_150        951
996   Brie                                06/18/1987  LLNL          NNSS                       U10cc         Shaft       15:20:00.08  37.193506   -116.035883   4413              -666              Weapons_Related                      Less_than_20     996
1048  Bristol                             11/26/1991  LLNL/UK       NNSS                       U4av          Shaft       18:35:00.07  37.096440   -116.070481   4177              -1500             Joint_US-UK                          Less_than_20     1048
423   Bronze                              07/23/1965  LANL          NNSS                       U7f           Shaft       17:00:00.04  37.097785   -116.033872   4213              -1742             Weapons_Related                      20_to_200        423
529   Brush                               01/24/1968  LANL          NNSS                       U3eq          Shaft       15:00:00.04  37.042747   -116.014798   4021              -388              Weapons_Related                      Less_than_20     529
435   Buff                                12/16/1965  LANL          NNSS                       U3dh          Shaft       19:15:00.04  37.072497   -116.029969   4102              -1642             Weapons_Related                      20_to_200        435
536   Buggy-A                             03/12/1968  LLNL          NNSS                       U30a          Crater      17:04:00.11  37.007336   -116.370794   5210              -165              Plowshare                            1.08             536
536   Buggy-B                             03/12/1968  LLNL          NNSS                       U30b          Crater      17:04:00.11  37.007471   -116.371259   5210              -165              Plowshare                            1.08             536
536   Buggy-C                             03/12/1968  LLNL          NNSS                       U30c          Crater      17:04:00.11  37.007617   -116.371740   5210              -165              Plowshare                            1.08             536
536   Buggy-D                             03/12/1968  LLNL          NNSS                       U30d          Crater      17:04:00.11  37.007772   -116.372234   5210              -165              Plowshare                            1.08             536
536   Buggy-E                             03/12/1968  LLNL          NNSS                       U30e          Crater      17:04:00.11  37.007913   -116.372713   5210              -165              Plowshare                            1.08             536
811   Bulkhead                            04/27/1977  LANL          NNSS                       U7am          Shaft       15:00:00.08  37.094739   -116.028751   4219              -1950             Weapons_Related                      20_to_150        811
1015  Bullfrog                            08/30/1988  LLNL          NNSS                       U4au          Shaft       18:00:00.09  37.085884   -116.069388   4145              -1605             Weapons_Related                      Less_than_150    1015
1034  Bullion                             06/13/1990  LLNL          NNSS                       U20bd         Shaft       16:00:00.09  37.261551   -116.421002   6486              -2211             Weapons_Related                      20_to_150        1034
282   Bumping                             10/06/1962  LLNL          Johnston_Island_area       UNKN          Airdrop     16:03:00.00  14.670000   -168.250000   0                 9900              Weapons_Related                      11.3             282
354   Bunker                              02/13/1964  LLNL          NNSS                       U9bb          Shaft       15:30:00.15  37.131968   -116.033210   4254              -743              Weapons_Related                      Less_than_20     354
857   Burzet                              08/03/1979  LLNL          NNSS                       U4ai          Shaft       15:07:30.16  37.083902   -116.070757   4142              -1475             Weapons_Related                      20_to_150        857
413   Buteo                               05/12/1965  LANL          NNSS                       U20a          Shaft       18:15:00.10  37.242607   -116.431741   6520              -2282             Weapons_Related                      Less_than_20     413
123   Butternut                           05/11/1958  LANL          Enewetak_Atoll             UNKN          Barge       18:15:00.00  11.542700   162.338600    0                 10                Weapons_Related                      81               123
373   Bye                                 07/16/1964  LLNL          NNSS                       U10i          Shaft       13:15:00.15  37.182162   -116.046217   4335              -1282             Weapons_Related                      20_to_200        373
898   Caboc                               12/16/1981  LLNL          NNSS                       U2cp          Shaft       21:05:00.09  37.114478   -116.123752   4510              -1099             Weapons_Related                      Less_than_20     898
920   Cabra                               03/26/1983  LLNL          NNSS                       U20aj         Shaft       20:20:00.09  37.300630   -116.460926   6345              -1781             Weapons_Related                      20_to_150        920
727   Cabresto                            05/24/1973  LANL          NNSS                       U7h           Shaft       13:30:00.04  37.078000   -116.031637   4118              -649              Weapons_Related                      Less_than_20     727
769   Cabrillo                            03/07/1975  LLNL          NNSS                       U2dr          Shaft       15:00:00.17  37.133964   -116.085117   4313              -1970             Weapons_Related                      20_to_200        769
530   Cabriolet                           01/26/1968  LLNL          NNSS                       U20l          Crater      16:00:00.11  37.280797   -116.515339   6197              -170              Plowshare                            2.3              530
121   Cactus                              05/05/1958  LANL          Enewetak_Atoll             UNKN          Surface     18:15:00.00  11.697130   165.274200    5                 3                 Weapons_Related                      18               121
618   Calabash                            10/29/1969  LLNL          NNSS                       U2av          Shaft       22:01:51.04  37.143270   -116.064717   4298              -2050             Weapons_Related                      110              618
291   Calamity                            10/27/1962  LLNL          Johnston_Island_area       UNKN          Airdrop     15:46:00.00  14.700000   -168.417000   0                 11780             Weapons_Related                      800              291
414   Cambric                             05/14/1965  LLNL          NNSS                       U5e           Shaft       14:57:52.15  36.823339   -115.967700   3137              -967              Weapons_Related                      .750             414
779   Camembert                           06/26/1975  LLNL          NNSS                       U19q          Shaft       12:30:00.16  37.278875   -116.369471   6758              -4304             Weapons_Related                      200_to_1000      779
671   Camphor                             06/29/1971  LLNL/SNL/DoD  NNSS                       U12g.10       Tunnel      18:30:00.16  37.176732   -116.212366   7557              -1390             Weapons_Effects                      Less_than_20     671
